airport_qid,airport,country_qid,country,administrative_entity_qid,administrative_entity,latitude,longitude,iata_code,icao_code,hub_qid,hub,hub_latitude,hub_longitude,replaced_by_qid,replaced_by_icao_code
Q1388668,Karlsruhe Forchheim,Q183,Germany,Q520595,Rheinstetten,48.983,8.33118,QKA,EDTK,NA,NA,NA,NA,NA,
Q1163183,Charleston International Airport,Q30,United States of America,Q1456,South Carolina,32.898611111111,-80.040555555556,CHS,KCHS,Q47716,Charleston,32.776111111111,-79.9325,NA,
Q1707982,Danilo Atienza Air Base,Q928,Philippines,Q13650,Calabarzon,14.49131667,120.89388611,SGL,RPLS,Q1482,Cavite City,14.483333333333,120.9,NA,
Q1797758,L.F. Wade International Airport,Q145,United Kingdom,Q2062552,St. David's Island,32.364166666667,-64.678611111111,BDA,TXKF,Q23635,Bermuda,32.333333,-64.75,NA,
Q2159407,Chara Airport,Q159,Russia,Q6838,Zabaykalsky Krai,56.913333333333,118.27,NA,UIAR,NA,NA,NA,NA,NA,
Q17704,Hong Kong International Airport,Q148,People's Republic of China,Q752523,Islands District,22.308889,113.914444,HKG,VHHH,Q8646,Hong Kong,22.278333333333,114.15861111111,NA,
Q17609,Darwin International Airport,Q408,Australia,Q24239665,Eaton,-12.414722222222,130.87666666667,DRW,YPDN,Q11568,Darwin,-12.438055555556,130.84111111111,NA,
Q17570,Newcastle Airport,Q408,Australia,Q3224,New South Wales,-32.795,151.834,NTL,YWLM,Q1638164,Hunter Valley,-32.916666666667,151.75,NA,
Q7278511,Rabaul Airport,Q691,Papua New Guinea,Q753702,East New Britain Province,-4.3402777777778,152.37944444444,RAB,AYRB,Q218768,Rabaul,-4.1980555555556,152.16805555556,NA,
Q2915005,Narsarsuaq Airport,Q223,Greenland,Q478813,Kujalleq,61.160555555556,-45.425555555556,UAK,BGBW,Q59168,Narsarsuaq,61.145833333333,-45.434722222222,NA,
Q643783,Pristina International Airport Adem Jashari,Q1246,Kosovo,Q25270,Pristina,42.572777777778,21.035833333333,PRN,BKPR,Q25270,Pristina,42.666666666667,21.166666666667,NA,
Q1032113,CFB Bagotville,Q16,Canada,Q139229,Saguenay,48.3306,-70.9969,YBG,CYBG,Q139229,Saguenay,48.4167,-71.0667,NA,
Q7927020,Victoria STOLport,Q16,Canada,Q340,Montreal,45.4831,-73.5413,YMY,CYMY,NA,NA,NA,NA,NA,
Q1431350,Gander International Airport,Q16,Canada,Q2003,Newfoundland and Labrador,48.9369,-54.5681,YQX,CYQX,Q745257,Gander,48.956944444444,-54.608888888889,NA,
Q2875950,Summerside Airport,Q16,Canada,Q1978,Prince Edward Island,46.4406,-63.8336,YSU,CYSU,Q863058,Summerside,46.4,-63.783333333333,NA,
Q1323755,Winnipeg James Armstrong Richardson International Airport,Q16,Canada,Q2135,Winnipeg,49.91,-97.24,YWG,CYWG,Q2135,Winnipeg,49.883333,-97.15,NA,
Q905933,Diori Hamani International Airport,Q1032,Niger,Q3674,Niamey,13.481666666667,2.1702777777778,NIM,DRRN,Q3674,Niamey,13.508611111111,2.1111111111111,NA,
Q2886623,Canadian Forces Base Lahr,Q183,Germany,Q7039,Lahr/Schwarzwald,48.36925,7.827722,LHA,EDAN,NA,NA,NA,NA,Q597321,
Q655892,RAF Gatow,Q183,Germany,Q158083,Spandau,52.474444444444,13.138055555556,GWW,EDBG,NA,NA,NA,NA,NA,
Q566536,Neubrandenburg Airport,Q183,Germany,Q49440,Trollenhagen,53.602166666667,13.306,FNB,EDBN,Q3958,Neubrandenburg,53.556944444444,13.260833333333,NA,
Q9688,Berlin-Tegel Airport,Q183,Germany,Q158876,Reinickendorf,52.559722,13.287778,TXL,EDBT,Q64,Berlin,52.516666666667,13.383333333333,Q160556,
Q160556,Berlin Brandenburg Airport,Q183,Germany,Q521475,Schönefeld,52.3622466666667,13.5006716666667,BER,EDDB,Q64,Berlin,52.516666666667,13.383333333333,NA,
Q131402,Munich Airport,Q183,Germany,Q285955,Hallbergmoos,48.353888888889,11.786111111111,MUC,EDDM,Q1726,Munich,48.1375,11.575,NA,
Q20462403,Grasberg Airport,Q183,Germany,NA,NA,50.305555,10.226667,NA,EDFD,NA,NA,NA,NA,NA,
Q12692931,Haidberg Airport,Q183,Germany,NA,NA,50.136667,11.794445,NA,EDNZ,NA,NA,NA,NA,NA,
Q1433545,Böhlen Airport,Q183,Germany,Q10743,Böhlen,51.2153,12.3678,NA,EDOE,NA,NA,NA,NA,NA,
Q1433755,Neuhausen ob Eck airfield,Q183,Germany,Q370971,Neuhausen ob Eck,47.9768333333333,8.90516666666667,NA,EDPH,NA,NA,NA,NA,NA,
Q50778169,Bartholomä-Amalienhof airfield,Q183,Germany,Q513376,Bartholomä,48.7466666666667,10.005,NA,EDPU,NA,NA,NA,NA,NA,
Q20467022,Zipser Berg Airport,Q183,Germany,NA,NA,49.762167,11.574667,NA,EDQZ,NA,NA,NA,NA,NA,
Q425631,Bremgarten airfield,Q183,Germany,Q534107,Eschbach,47.9031666666667,7.61783333333333,NA,EDSG,Q165607,Hartheim am Rhein,47.936666666667,7.6277777777778,NA,
Q27478864,Gruibingen-Nortel airfield,Q183,Germany,Q82013,Gruibingen,48.6211666666667,9.65583333333333,NA,EDSO,NA,NA,NA,NA,NA,
Q870382,Poltringen Airfield,Q183,Germany,Q473107,Ammerbuch,48.546944444444,8.9447222222222,NA,EDSP,NA,NA,NA,NA,NA,
Q51348984,Radolfzell-Stahringen airfield,Q183,Germany,Q16113,Radolfzell am Bodensee,47.8026666666667,8.97966666666667,NA,EDSR,NA,NA,NA,NA,NA,
Q443763,RAF Wildenrath,Q183,Germany,Q204860,Wegberg,51.115083,6.213722,WID,EDUW,NA,NA,NA,NA,NA,
Q1433771,Nordhorn-Lingen Airport,Q183,Germany,Q556086,Wietmarschen,52.4578,7.17583,NA,EDWN,NA,NA,NA,NA,NA,
Q1810907,Linnahall,Q191,Estonia,Q4450503,Tallinn City,59.446666666667,24.752777777778,NA,EECL,Q1770,Tallinn,59.437222222222,24.745,NA,
Q3915293,Leicester Airport,Q145,United Kingdom,Q23106,Leicestershire,52.607777777778,-1.0319444444444,NA,EGBG,NA,NA,NA,NA,NA,
Q2123972,MoD Lyneham,Q145,United Kingdom,Q1949374,Lyneham and Bradenstoke,51.505277777778,-1.9933333333333,LYE,EGDL,NA,NA,NA,NA,NA,
Q1030646,Campbeltown Airport,Q145,United Kingdom,Q202174,Argyll and Bute,55.437222222222,-5.6863888888889,CAL,EGEC,Q1012490,Campbeltown,55.423333333333,-5.6061111111111,NA,
Q1405771,Manston Airport,Q145,United Kingdom,Q2779399,Manston,51.342222222222,1.3461111111111,MSE,EGMH,Q26621107,Manston Court And Wall Adjacent,51.350429,1.363944,NA,
Q7409624,Samlesbury Aerodrome,Q145,United Kingdom,Q375460,Balderstone,53.7733,-2.56944,NA,EGNG,NA,NA,NA,NA,NA,
Q1367075,Wickenby Aerodrome,Q145,United Kingdom,Q2787918,Holton cum Beckering,53.316944444444,-0.34888888888889,NA,EGNW,Q6486990,Langworth,53.2744,-0.40827,NA,
Q540512,Anglesey Airport,Q145,United Kingdom,Q42617191,Isle of Anglesey,53.248055555556,-4.5352777777778,VLY,EGOV,Q168159,Anglesey,53.293975,-4.376728,NA,
Q3565572,MOD St Athan,Q145,United Kingdom,Q25,Wales,51.404722222222,-3.4358333333333,"NA",EGSY,NA,NA,NA,NA,NA,
Q3887282,Hatfield Aerodrome,Q145,United Kingdom,Q19788,Hatfield,51.76583333,-0.25083333,HTF,EGTH,NA,NA,NA,NA,NA,
Q2542312,Wattisham Airfield,Q145,United Kingdom,Q2907911,Wattisham,52.127222222222,0.95638888888889,NA,EGUW,Q184775,Ipswich,52.059444444444,1.1555555555556,NA,
Q2123956,RAF Brampton Wyton Henlow,Q145,United Kingdom,Q21,England,52.015278,-0.303056,NA,EGWE,NA,NA,NA,NA,NA,
