unit,tra_meas,airp_pr,time,values,source
PAS,PAS_CRD_ARR,BE_EBAW_ES_LEAL,2019,25419,avia_par_be
PAS,PAS_CRD_ARR,BE_EBAW_ES_LEMG,2019,23527,avia_par_be
PAS,PAS_CRD_ARR,BE_EBAW_ES_LEPA,2019,7638,avia_par_be
PAS,PAS_CRD_ARR,BE_EBAW_MA_GMMW,2019,14537,avia_par_be
PAS,PAS_CRD_ARR,BE_EBAW_MA_GMTT,2019,9439,avia_par_be
PAS,PAS_CRD_ARR,BE_EBAW_ZZ_ZZZZ,2019,9964,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_AE_OMAA,2019,85804,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_AE_OMDB,2019,175735,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_AT_LOWW,2019,244119,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_BF_DFFD,2019,43569,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CA_CYUL,2019,109288,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CA_CYYZ,2019,48909,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CH_LSGG,2019,308177,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CH_LSZH,2019,162051,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CI_DIAP,2019,38538,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CM_FKKD,2019,88115,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CN_ZBAA,2019,60920,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_CZ_LKPR,2019,165266,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DE_EDDB,2019,81938,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DE_EDDF,2019,286297,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DE_EDDH,2019,98264,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DE_EDDM,2019,218458,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DE_EDDT,2019,172352,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DK_EKBI,2019,55383,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_DK_EKCH,2019,241502,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_EG_HEGN,2019,73510,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_EL_LGAV,2019,138924,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_EL_LGIR,2019,79520,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_EL_LGKO,2019,39445,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_EL_LGRP,2019,37956,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_GCLP,2019,63743,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_GCRR,2019,31233,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_GCTS,2019,136003,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEAL,2019,209833,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEBB,2019,77494,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEBL,2019,477702,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEMD,2019,544563,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEMG,2019,262214,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEPA,2019,98970,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_ES_LEVC,2019,115312,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FI_EFHK,2019,115054,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFBD,2019,41403,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFBO,2019,93099,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFLL,2019,129152,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFML,2019,73831,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFMN,2019,191445,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFPG,2019,102862,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFRS,2019,41765,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_FR_LFSB,2019,56089,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_GH_DGAA,2019,85919,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_HK_VHHH,2019,47946,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_HR_LDZA,2019,59775,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_HU_LHBP,2019,100405,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IE_EIDW,2019,218401,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IL_LLBG,2019,141908,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IS_BIKF,2019,51681,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IT_LIMC,2019,217277,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IT_LIML,2019,106947,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IT_LIPZ,2019,113162,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IT_LIRF,2019,359855,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_IT_LIRN,2019,36733,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_JP_RJAA,2019,59811,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_LV_EVRA,2019,50307,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_MA_GMAD,2019,43379,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_MA_GMMN,2019,74231,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_MA_GMMX,2019,57410,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_MA_GMTT,2019,62794,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_MT_LMML,2019,53294,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_NL_EHAM,2019,136017,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_NO_ENGM,2019,148423,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_PL_EPWA,2019,165492,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_PT_LPFR,2019,53785,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_PT_LPPR,2019,173987,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_PT_LPPT,2019,388827,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_QA_OTHH,2019,89543,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_RO_LROP,2019,90185,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_RU_UUEE,2019,140277,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_RW_HRYR,2019,15178,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_SE_ESGG,2019,101998,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_SE_ESSA,2019,79362,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_SE_ESSB,2019,100753,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TH_VTBS,2019,73753,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TN_DTTJ,2019,41937,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TR_LTAI,2019,179746,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TR_LTBA,2019,51093,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TR_LTBJ,2019,44893,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_TR_LTFE,2019,41592,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UA_UKBB,2019,78022,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UG_HUEN,2019,84930,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UK_EGBB,2019,65061,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UK_EGCC,2019,118397,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UK_EGLL,2019,331545,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_UK_EGPH,2019,72707,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_US_KATL,2019,47669,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_US_KEWR,2019,97095,avia_par_be
PAS,PAS_CRD_ARR,BE_EBBR_US_KIAD,2019,124841,avia_par_be
