unit,tra_meas,airp_pr,time,values,source
PAS,PAS_CRD_DEP,BE_EBAW_ES_LEAL,2019,25629,avia_par_be
PAS,PAS_CRD_DEP,BE_EBAW_ES_LEMG,2019,22350,avia_par_be
PAS,PAS_CRD_DEP,BE_EBAW_ES_LEPA,2019,7994,avia_par_be
PAS,PAS_CRD_DEP,BE_EBAW_MA_GMMW,2019,13999,avia_par_be
PAS,PAS_CRD_DEP,BE_EBAW_MA_GMTT,2019,8900,avia_par_be
PAS,PAS_CRD_DEP,BE_EBAW_ZZ_ZZZZ,2019,9796,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_AE_OMAA,2019,81060,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_AE_OMDB,2019,182729,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_AT_LOWW,2019,242058,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_BF_DFFD,2019,41848,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CA_CYUL,2019,110662,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CA_CYYZ,2019,51334,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CH_LSGG,2019,306828,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CH_LSZH,2019,162061,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CI_DIAP,2019,37092,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CM_FKKD,2019,79601,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CN_ZBAA,2019,59570,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_CZ_LKPR,2019,168567,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DE_EDDB,2019,82555,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DE_EDDF,2019,292262,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DE_EDDH,2019,98655,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DE_EDDM,2019,220571,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DE_EDDT,2019,176142,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DK_EKBI,2019,53725,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_DK_EKCH,2019,237392,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_EG_HEGN,2019,52213,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_EL_LGAV,2019,134547,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_EL_LGIR,2019,79762,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_EL_LGKO,2019,40409,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_EL_LGRP,2019,43956,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_GCLP,2019,57373,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_GCRR,2019,46199,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_GCTS,2019,134316,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEAL,2019,202792,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEBB,2019,77183,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEBL,2019,474467,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEMD,2019,541474,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEMG,2019,266063,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEPA,2019,97395,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ES_LEVC,2019,114290,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FI_EFHK,2019,116447,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFBD,2019,41549,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFBO,2019,95428,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFLL,2019,132067,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFML,2019,78308,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFMN,2019,194390,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFPG,2019,93214,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFRS,2019,44934,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_FR_LFSB,2019,53386,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_GH_DGAA,2019,79101,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_HK_VHHH,2019,46406,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_HR_LDZA,2019,60041,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_HU_LHBP,2019,101677,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IE_EIDW,2019,220167,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IL_LLBG,2019,139010,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IS_BIKF,2019,53436,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IT_LIMC,2019,213666,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IT_LIML,2019,115156,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IT_LIPZ,2019,116576,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IT_LIRF,2019,361196,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_IT_LIRN,2019,40489,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_JP_RJAA,2019,61232,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_LV_EVRA,2019,48866,avia_par_be
