route_code,route_name,passengers
AT_LOWG_AT_LOWW,GRAZ airport - WIEN-SCHWECHAT airport,65593
AT_LOWG_CH_LSZH,GRAZ airport - ZURICH airport,25826
AT_LOWG_DE_EDDF,GRAZ airport - FRANKFURT/MAIN airport,121666
AT_LOWG_DE_EDDL,GRAZ airport - DUESSELDORF airport,29488
AT_LOWG_DE_EDDM,GRAZ airport - MUENCHEN airport,110624
AT_LOWG_DE_EDDS,GRAZ airport - STUTTGART airport,22007
AT_LOWG_DE_EDDT,GRAZ airport - BERLIN-TEGEL airport,23087
AT_LOWG_EG_HEGN,GRAZ airport - HURGHADA / INTL airport,17040
AT_LOWG_ES_LEPA,GRAZ airport - PALMA DE MALLORCA airport,12537
AT_LOWG_NL_EHAM,GRAZ airport - AMSTERDAM/SCHIPHOL airport,24978
AT_LOWG_TR_LTAI,GRAZ airport - ANTALYA (MIL-CIV) airport,12193
AT_LOWG_TR_LTFM,GRAZ airport - ISTANBUL/ISTANBUL HAVALIMANI airport,12349
AT_LOWI_AT_LOWW,INNSBRUCK airport - WIEN-SCHWECHAT airport,101064
AT_LOWI_DE_EDDF,INNSBRUCK airport - FRANKFURT/MAIN airport,85656
AT_LOWI_DE_EDDT,INNSBRUCK airport - BERLIN-TEGEL airport,25544
AT_LOWI_NL_EHAM,INNSBRUCK airport - AMSTERDAM/SCHIPHOL airport,52197
AT_LOWI_NL_EHEH,INNSBRUCK airport - EINDHOVEN airport,22918
AT_LOWI_NL_EHRD,INNSBRUCK airport - ROTTERDAM airport,22380
AT_LOWI_UK_EGCC,INNSBRUCK airport - MANCHESTER airport,18251
AT_LOWI_UK_EGGD,INNSBRUCK airport - BRISTOL airport,10991
AT_LOWI_UK_EGKK,INNSBRUCK airport - LONDON GATWICK airport,93416
AT_LOWI_UK_EGLL,INNSBRUCK airport - LONDON HEATHROW airport,23895
AT_LOWK_AT_LOWW,KLAGENFURT airport - WIEN-SCHWECHAT airport,59245
AT_LOWK_DE_EDDK,KLAGENFURT airport - KOELN/BONN airport,32462
AT_LOWL_DE_EDDF,LINZ airport - FRANKFURT/MAIN airport,89401
AT_LOWL_DE_EDDL,LINZ airport - DUESSELDORF airport,25724
AT_LOWL_EG_HEGN,LINZ airport - HURGHADA / INTL airport,16269
AT_LOWL_EL_LGIR,LINZ airport - IRAKLION/NIKOS KAZANTZAKIS airport,12170
AT_LOWL_EL_LGRP,LINZ airport - RODOS/DIAGORAS airport,9859
AT_LOWL_ES_LEPA,LINZ airport - PALMA DE MALLORCA airport,11783
AT_LOWL_TR_LTAI,LINZ airport - ANTALYA (MIL-CIV) airport,11031
AT_LOWS_AT_LOWW,SALZBURG airport - WIEN-SCHWECHAT airport,48123
AT_LOWS_DE_EDDB,SALZBURG airport - BERLIN-BRANDENBURG airport,32808
AT_LOWS_DE_EDDF,SALZBURG airport - FRANKFURT/MAIN airport,114511
AT_LOWS_DE_EDDH,SALZBURG airport - HAMBURG airport,44100
AT_LOWS_DE_EDDK,SALZBURG airport - KOELN/BONN airport,30570
AT_LOWS_DE_EDDL,SALZBURG airport - DUESSELDORF airport,58853
AT_LOWS_DE_EDDT,SALZBURG airport - BERLIN-TEGEL airport,33855
AT_LOWS_DK_EKCH,SALZBURG airport - KOBENHAVN/KASTRUP airport,19932
AT_LOWS_EG_HEGN,SALZBURG airport - HURGHADA / INTL airport,19294
AT_LOWS_ES_LEPA,SALZBURG airport - PALMA DE MALLORCA airport,46762
AT_LOWS_IE_EIDW,SALZBURG airport - DUBLIN airport,12684
AT_LOWS_NL_EHAM,SALZBURG airport - AMSTERDAM/SCHIPHOL airport,27389
AT_LOWS_NL_EHEH,SALZBURG airport - EINDHOVEN airport,11414
AT_LOWS_NL_EHRD,SALZBURG airport - ROTTERDAM airport,21720
AT_LOWS_SE_ESSA,SALZBURG airport - STOCKHOLM/ARLANDA airport,13721
AT_LOWS_TR_LTFM,SALZBURG airport - ISTANBUL/ISTANBUL HAVALIMANI airport,29624
AT_LOWS_UK_EGCC,SALZBURG airport - MANCHESTER airport,17946
AT_LOWS_UK_EGKK,SALZBURG airport - LONDON GATWICK airport,65466
AT_LOWS_UK_EGSS,SALZBURG airport - LONDON STANSTED airport,46882
AT_LOWW_AE_OMDB,WIEN-SCHWECHAT airport - DUBAI INTERNATIONAL airport,214022
AT_LOWW_AL_LATI,WIEN-SCHWECHAT airport - TIRANA airport,186878
AT_LOWW_AT_LOWG,WIEN-SCHWECHAT airport - GRAZ airport,66025
AT_LOWW_AT_LOWI,WIEN-SCHWECHAT airport - INNSBRUCK airport,103595
AT_LOWW_AT_LOWK,WIEN-SCHWECHAT airport - KLAGENFURT airport,60458
AT_LOWW_AT_LOWS,WIEN-SCHWECHAT airport - SALZBURG airport,44325
AT_LOWW_BA_LQSA,WIEN-SCHWECHAT airport - SARAJEVO airport,159292
AT_LOWW_BE_EBBR,WIEN-SCHWECHAT airport - BRUSSELS airport,228058
AT_LOWW_BG_LBSF,WIEN-SCHWECHAT airport - SOFIA airport,174448
AT_LOWW_BG_LBWN,WIEN-SCHWECHAT airport - VARNA airport,61645
AT_LOWW_BY_UMMS,WIEN-SCHWECHAT airport - MINSK-2 airport,52186
AT_LOWW_CA_CYUL,"WIEN-SCHWECHAT airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport",40085
AT_LOWW_CA_CYYZ,"WIEN-SCHWECHAT airport - TORONTO/LESTER B. PEARSON INTL, ON airport",76954
AT_LOWW_CH_LFSB,WIEN-SCHWECHAT airport - BALE-MULHOUSE airport,97622
AT_LOWW_CH_LSGG,WIEN-SCHWECHAT airport - GENEVA airport,143567
AT_LOWW_CH_LSZH,WIEN-SCHWECHAT airport - ZURICH airport,469929
AT_LOWW_CH_LSZR,WIEN-SCHWECHAT airport - ST. GALLEN-ALTENRHEIN airport,41610
AT_LOWW_CN_ZBAA,WIEN-SCHWECHAT airport - BEIJING/CAPITAL airport,75953
AT_LOWW_CN_ZSPD,WIEN-SCHWECHAT airport - SHANGHAI/PUDONG airport,67442
AT_LOWW_CY_LCLK,WIEN-SCHWECHAT airport - LARNAKA/INTL airport,153690
AT_LOWW_CZ_LKPR,WIEN-SCHWECHAT airport - PRAHA/RUZYNE airport,175742
AT_LOWW_DE_EDDF,WIEN-SCHWECHAT airport - FRANKFURT/MAIN airport,564355
AT_LOWW_DE_EDDH,WIEN-SCHWECHAT airport - HAMBURG airport,364174
AT_LOWW_DE_EDDK,WIEN-SCHWECHAT airport - KOELN/BONN airport,184936
AT_LOWW_DE_EDDL,WIEN-SCHWECHAT airport - DUESSELDORF airport,389776
AT_LOWW_DE_EDDM,WIEN-SCHWECHAT airport - MUENCHEN airport,266346
AT_LOWW_DE_EDDS,WIEN-SCHWECHAT airport - STUTTGART airport,277712
AT_LOWW_DE_EDDT,WIEN-SCHWECHAT airport - BERLIN-TEGEL airport,490678
AT_LOWW_DE_EDDV,WIEN-SCHWECHAT airport - HANNOVER airport,110866
AT_LOWW_DE_EDLW,WIEN-SCHWECHAT airport - DORTMUND airport,54205
AT_LOWW_DK_EKCH,WIEN-SCHWECHAT airport - KOBENHAVN/KASTRUP airport,229434
AT_LOWW_EG_HECA,WIEN-SCHWECHAT airport - CAIRO/INTL airport,75054
AT_LOWW_EG_HEGN,WIEN-SCHWECHAT airport - HURGHADA / INTL airport,60375
AT_LOWW_EL_LGAV,WIEN-SCHWECHAT airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,162925
AT_LOWW_EL_LGIR,WIEN-SCHWECHAT airport - IRAKLION/NIKOS KAZANTZAKIS airport,54212
AT_LOWW_EL_LGRP,WIEN-SCHWECHAT airport - RODOS/DIAGORAS airport,39156
AT_LOWW_EL_LGTS,WIEN-SCHWECHAT airport - THESSALONIKI/MAKEDONIA airport,79705
