country,icao_code,airport_qid,airport,country_qid,country_name,administrative_entity_qid,administrative_entity,latitude,longitude,iata_code,hub_qid,hub,hub_latitude,hub_longitude
AL,LATI,Q217226,Tirana International Airport Nënë Tereza,Q222,Albania,Q229892,Tirana County,41.414722222222,19.720555555556,TIA,Q19689,Tirana,41.33,19.82
AT,LOWG,Q178162,Graz Airport,Q40,Austria,Q672464,Feldkirchen bei Graz,46.993055555556,15.439166666667,GRZ,Q13298,Graz,47.0708333333333,15.4386111111111
AT,LOWI,Q694434,Innsbruck Airport,Q40,Austria,Q1735,Innsbruck,47.260277777778,11.343888888889,INN,Q1735,Innsbruck,47.268333333333,11.393333333333
AT,LOWK,Q694404,Klagenfurt Airport,Q40,Austria,Q41753,Klagenfurt,46.642777777778,14.337222222222,KLU,Q41753,Klagenfurt,46.616666666667,14.3
AT,LOWL,Q700852,Linz Airport,Q40,Austria,Q675816,Hörsching,48.233333333333,14.1875,LNZ,Q41329,Linz,48.3,14.283333333333
AT,LOWS,Q251538,Salzburg Airport,Q40,Austria,Q34713,Salzburg,47.794444444444,13.003333333333,SZG,Q34713,Salzburg,47.7972,13.04768
AT,LOWW,Q32999,Wien-Schwechat Airport,Q40,Austria,Q489972,Schwechat,48.110278,16.569722,VIE,Q1741,Vienna,48.20833,16.373064
BA,LQBK,Q1430945,Banja Luka International Airport,Q225,Bosnia and Herzegovina,NA,NA,44.941388888889,17.2975,BNX,Q131127,Banja Luka,44.766666666667,17.183333333333
BA,LQSA,Q740392,Sarajevo International Airport,Q225,Bosnia and Herzegovina,Q12756621,Ilidža Municipality,43.824722222222,18.331388888889,SJJ,Q11194,Sarajevo,43.8563333333333,18.4132222222222
BA,LQTZ,Q1433133,Tuzla International Airport,Q225,Bosnia and Herzegovina,Q225,Bosnia and Herzegovina,44.458611111111,18.724722222222,TZL,Q18250,Tuzla Canton,44.55,18.6
BE,EBAW,Q17480,Antwerp International Airport,Q31,Belgium,Q12892,Antwerp,51.189444444444,4.4602777777778,ANR,Q12892,Antwerp,51.2211111111111,4.39972222222222
BE,EBLG,Q606067,Liege Airport,Q31,Belgium,Q683034,Grâce-Hollogne,50.637778,5.444167,LGG,Q3992,Liège,50.6397222222222,5.57055555555556
BE,EBOS,Q1432260,Ostend-Bruges International Airport,Q31,Belgium,Q12996,Ostend,51.200278,2.870278,OST,Q12994,Bruges,51.2088888888889,3.22416666666667
BG,LBBG,Q1324587,Burgas Airport,Q219,Bulgaria,Q369220,Burgas Province,42.570277777778,27.515277777778,BOJ,Q6509,Burgas,42.502965,27.470179
BG,LBSF,Q127951,Sofia Airport,Q219,Bulgaria,Q4442915,Sofia Capital Municipality,42.695,23.408333333333,SOF,Q472,Sofia,42.697886,23.321726
BG,LBWN,Q1423410,Varna Airport,Q219,Bulgaria,Q183487,Varna Province,43.231944444444,27.825277777778,VAR,Q6506,Varna,43.211375,27.91108
CH,LFSB,Q156971,EuroAirport Basel-Mulhouse-Freiburg,Q142,France,Q384516,Saint-Louis,47.59,7.5291666666667,BSL,Q78,Basel,47.560555555556,7.5905555555556
CH,LSGG,Q289972,Geneva International Airport,Q39,Switzerland,Q68230,Meyrin,46.238333333333,6.1094444444444,GVA,Q71,Geneva,46.2,6.15
CH,LSZH,Q15114,Zurich Airport,Q39,Switzerland,Q11943,Canton of Zürich,47.464722222222,8.5491666666667,ZRH,Q72,Zürich,47.378611111111,8.54
CH,LSZR,Q689836,St. Gallen-Altenrhein Airport,Q39,Switzerland,Q12746,Canton of St. Gallen,47.485,9.560833,ACH,Q25607,St. Gallen,47.423333333333,9.3772222222222
CY,LCLK,Q654636,Larnaca International Airport,Q229,Cyprus,Q171882,Larnaca,34.878888888889,33.630277777778,LCA,Q171882,Larnaca,34.916666666667,33.633333333333
CY,LCPH,Q1050707,Paphos International Airport,Q229,Cyprus,Q7806650,Timi,34.718333333333,32.485,PFO,Q59133,Paphos District,34.77682,32.419736
CZ,LKPR,Q99172,Prague Václav Havel Airport,Q213,Czech Republic,Q2331979,Ruzyně,50.100833333333,14.26,PRG,Q1085,Prague,50.083333333333,14.416666666667
CZ,LKTB,Q748848,Brno-Tuřany Airport,Q213,Czech Republic,Q8012740,Tuřany,49.1513888888889,16.6938888888889,BRQ,Q14960,Brno,49.195277777778,16.608333333333
DE,EDDC,Q657005,Dresden Airport,Q183,Germany,Q8931,Klotzsche,51.1343444444444,13.768,DRS,Q1731,Dresden,51.05,13.74
DE,EDDE,Q703794,Erfurt-Weimar Airport,Q183,Germany,Q1729,Erfurt,50.979722,10.958056,ERF,Q1729,Erfurt,50.978055555556,11.029166666667
DE,EDDG,Q673760,Münster Osnabrück International Airport,Q183,Germany,Q14917,Greven,52.134642,7.68483,FMO,Q2742,Münster,51.9625,7.6255555555556
DE,EDDK,Q157741,Cologne Bonn Airport,Q183,Germany,Q365,Cologne,50.865833333333,7.1427777777778,CGN,Q365,Cologne,50.942222222222,6.9577777777778
DE,EDDL,Q58226,Düsseldorf Airport,Q183,Germany,Q1868132,Lohausen,51.289444444444,6.7666666666667,DUS,Q1718,Düsseldorf,51.231144444444,6.7723805555556
DE,EDDM,Q131402,Munich Airport,Q183,Germany,Q285955,Hallbergmoos,48.353888888889,11.786111111111,MUC,Q1726,Munich,48.1375,11.575
DE,EDDN,Q265994,Nuremberg Airport,Q183,Germany,Q2090,Nuremberg,49.498611111111,11.078055555556,NUE,Q2090,Nuremberg,49.4538888888889,11.0775
DE,EDDP,Q668382,Leipzig/Halle Airport,Q183,Germany,Q12058,Schkeuditz,51.423888888889,12.236388888889,LEJ,Q2079,Leipzig,51.333333333333,12.383333333333
DE,EDDR,Q697101,Saarbrücken Airport,Q183,Germany,Q1724,Saarbrücken,49.214444444444,7.1094444444444,SCN,Q1724,Saarbrücken,49.233333333333,7
DE,EDDS,Q158732,Stuttgart Airport,Q183,Germany,Q7032,Filderstadt,48.69,9.2219444444444,STR,Q1022,Stuttgart,48.776111111111,9.1775
