ranking,route,passengers,distance_km,origin_hub,origin_hub_qid,origin_hub_latitude,origin_hub_longitude,destination_hub,destination_hub_qid,destination_hub_latitude,destination_hub_longitude
1,London - Amsterdam,4925746,358.0166975450957,London,Q84,51.507222222222,-0.1275,Amsterdam,Q727,52.383333333333,4.9
2,London - Barcelona,3387482,1139.4259151784215,London,Q84,51.507222222222,-0.1275,Barcelona,Q1492,41.3825,2.1769444444444
3,London - Edinburgh,3374774,533.6046061496281,London,Q84,51.507222222222,-0.1275,Edinburgh,Q23436,55.95,-3.1988888888889
4,Paris - Toulouse,3216294,588.1965122697903,Paris,Q90,48.856944444444,2.3513888888889,Toulouse,Q7880,43.604444444444,1.4438888888889
5,Paris - Nice,3178806,686.2228131436682,Paris,Q90,48.856944444444,2.3513888888889,Nice,Q33959,43.701944444444,7.2683333333333
6,London - Madrid,3147547,1262.9746268489828,London,Q84,51.507222222222,-0.1275,Madrid,Q2807,40.418888888889,-3.6919444444444
7,London - Milan,3031104,959.1465562331939,London,Q84,51.507222222222,-0.1275,Milan,Q490,45.466944444444,9.19
8,Paris - Barcelona,2690832,831.2336593132072,Paris,Q90,48.856944444444,2.3513888888889,Barcelona,Q1492,41.3825,2.1769444444444
9,Barcelona - Madrid,2572893,504.65329967557153,Barcelona,Q1492,41.3825,2.1769444444444,Madrid,Q2807,40.418888888889,-3.6919444444444
10,Paris - Madrid,2561787,1052.2646011563804,Paris,Q90,48.856944444444,2.3513888888889,Madrid,Q2807,40.418888888889,-3.6919444444444
11,Geneva - London,2524519,747.2262568171082,Geneva,Q71,46.2,6.15,London,Q84,51.507222222222,-0.1275
12,London - Rome,2392594,1433.9272411795625,London,Q84,51.507222222222,-0.1275,Rome,Q220,41.893055555556,12.482777777778
13,London - Glasgow,2296483,554.8263533188416,London,Q84,51.507222222222,-0.1275,Glasgow,Q4093,55.8611111111111,-4.25
14,Berlin - Frankfurt,2248716,422.0685550801449,Berlin,Q64,52.516666666667,13.383333333333,Frankfurt,Q1794,50.113611111111,8.6797222222222
15,Paris - Rome,2247612,1105.3990136337454,Paris,Q90,48.856944444444,2.3513888888889,Rome,Q220,41.893055555556,12.482777777778
16,London - Copenhagen,2227971,955.5902103774966,London,Q84,51.507222222222,-0.1275,Copenhagen,Q1748,55.676111111111,12.568888888889
17,Paris - Milan,2154095,639.4473092796718,Paris,Q90,48.856944444444,2.3513888888889,Milan,Q490,45.466944444444,9.19
18,London - Paris,2149539,343.46602143743775,London,Q84,51.507222222222,-0.1275,Paris,Q90,48.856944444444,2.3513888888889
19,Paris - Lisbon,2109832,1454.2009723507176,Paris,Q90,48.856944444444,2.3513888888889,Lisbon,Q597,38.708042,-9.139016
20,Oslo - Trondheim,2103647,392.83472275658573,Oslo,Q585,59.911111111111,10.752777777778,Trondheim,Q25804,63.44,10.4
21,London - Frankfurt,2067200,637.4916349761959,London,Q84,51.507222222222,-0.1275,Frankfurt,Q1794,50.113611111111,8.6797222222222
22,Milan - Catania,2023425,1012.0224254268338,Milan,Q490,45.466944444444,9.19,Catania,Q1903,37.502669444444,15.087269444444
23,Oslo - Bergen,2003549,305.1160031130857,Oslo,Q585,59.911111111111,10.752777777778,Bergen,Q26793,60.3925,5.3233333333333
24,Berlin - London,2000728,930.0792211917169,Berlin,Q64,52.516666666667,13.383333333333,London,Q84,51.507222222222,-0.1275
25,Zürich - London,1946968,775.987433581694,Zürich,Q72,47.378611111111,8.54,London,Q84,51.507222222222,-0.1275
26,Berlin - Munich,1933810,503.5346411245963,Berlin,Q64,52.516666666667,13.383333333333,Munich,Q1726,48.1375,11.575
27,London - Munich,1834163,917.9889173877879,London,Q84,51.507222222222,-0.1275,Munich,Q1726,48.1375,11.575
28,Rome - Catania,1826348,536.5670174069772,Rome,Q220,41.893055555556,12.482777777778,Catania,Q1903,37.502669444444,15.087269444444
29,London - Alicante,1783636,1463.806705980908,London,Q84,51.507222222222,-0.1275,Alicante,Q11959,38.345277777778,-0.48305555555556
30,Hamburg - Munich,1740129,611.8773623030654,Hamburg,Q1055,53.55,10,Munich,Q1726,48.1375,11.575
31,London - Budapest,1685154,1449.2376277368448,London,Q84,51.507222222222,-0.1275,Budapest,Q1781,47.498333333333,19.040833333333
32,Oslo - Stavanger,1681182,303.6004547478084,Oslo,Q585,59.911111111111,10.752777777778,Stavanger,Q25416,58.97,5.71
33,Rome - Madrid,1660456,1361.9871909689095,Rome,Q220,41.893055555556,12.482777777778,Madrid,Q2807,40.418888888889,-3.6919444444444
34,London - Stockholm,1611394,1432.7880855392498,London,Q84,51.507222222222,-0.1275,Stockholm,Q1754,59.329444444444,18.068611111111
35,Rome - Palermo,1580569,426.63333968885854,Rome,Q220,41.893055555556,12.482777777778,Palermo,Q2656,38.115658,13.361262
36,Paris - Marseille,1558924,660.6981835672751,Paris,Q90,48.856944444444,2.3513888888889,Marseille,Q23482,43.296666666667,5.3763888888889
37,Lisbon - Madrid,1558588,504.08734485907297,Lisbon,Q597,38.708042,-9.139016,Madrid,Q2807,40.418888888889,-3.6919444444444
