ranking,route,passengers,origin_hub,origin_hub_qid,origin_hub_latitude,origin_hub_longitude,destination_hub,destination_hub_qid,destination_hub_latitude,destination_hub_longitude,distance_km
1,London - Dublin,5107690,London,Q84,51.507222222222,-0.1275,Dublin,Q1761,53.3497222222222,-6.26027777777778,463.33464592108174
2,London - Amsterdam,4925746,London,Q84,51.507222222222,-0.1275,Amsterdam,Q727,52.383333333333,4.9,358.0166975450957
3,London - Barcelona,3387482,London,Q84,51.507222222222,-0.1275,Barcelona,Q1492,41.3825,2.1769444444444,1139.4259151784215
4,London - Edinburgh,3374774,London,Q84,51.507222222222,-0.1275,Edinburgh,Q23436,55.95,-3.1988888888889,533.6046061496281
5,Paris - Toulouse,3216294,Paris,Q90,48.856944444444,2.3513888888889,Toulouse,Q7880,43.604444444444,1.4438888888889,588.1965122697903
6,Paris - Nice,3178806,Paris,Q90,48.856944444444,2.3513888888889,Nice,Q33959,43.701944444444,7.2683333333333,686.2228131436682
7,London - Madrid,3147547,London,Q84,51.507222222222,-0.1275,Madrid,Q2807,40.418888888889,-3.6919444444444,1262.9746268489828
8,London - Milan,3031104,London,Q84,51.507222222222,-0.1275,Milan,Q490,45.466944444444,9.19,959.1465562331939
9,Paris - Barcelona,2690832,Paris,Q90,48.856944444444,2.3513888888889,Barcelona,Q1492,41.3825,2.1769444444444,831.2336593132072
10,Barcelona - Madrid,2572893,Barcelona,Q1492,41.3825,2.1769444444444,Madrid,Q2807,40.418888888889,-3.6919444444444,504.65329967557153
11,Paris - Madrid,2561787,Paris,Q90,48.856944444444,2.3513888888889,Madrid,Q2807,40.418888888889,-3.6919444444444,1052.2646011563804
12,Geneva - London,2524519,Geneva,Q71,46.2,6.15,London,Q84,51.507222222222,-0.1275,747.2262568171082
13,London - Rome,2392594,London,Q84,51.507222222222,-0.1275,Rome,Q220,41.893055555556,12.482777777778,1433.9272411795625
14,London - Belfast,2375583,London,Q84,51.507222222222,-0.1275,Belfast,Q10686,54.596388888889,-5.93,517.7772753435574
15,London - Glasgow,2296483,London,Q84,51.507222222222,-0.1275,Glasgow,Q4093,55.8611111111111,-4.25,554.8263533188416
16,London - Málaga,2276567,London,Q84,51.507222222222,-0.1275,Málaga,Q8851,36.716666666667,-4.4166666666667,1679.1561979326618
17,Berlin - Frankfurt,2248716,Berlin,Q64,52.516666666667,13.383333333333,Frankfurt,Q1794,50.113611111111,8.6797222222222,422.0685550801449
18,Paris - Rome,2247612,Paris,Q90,48.856944444444,2.3513888888889,Rome,Q220,41.893055555556,12.482777777778,1105.3990136337454
19,London - Copenhagen,2227971,London,Q84,51.507222222222,-0.1275,Copenhagen,Q1748,55.676111111111,12.568888888889,955.5902103774966
20,London - Lisbon,2199598,London,Q84,51.507222222222,-0.1275,Lisbon,Q597,38.708042,-9.139016,1586.4291405149581
21,Barcelona - Mallorca,2173939,Barcelona,Q1492,41.3825,2.1769444444444,Mallorca,Q8828,39.616666666667,2.9833333333333,207.85061755867835
22,Paris - Milan,2154095,Paris,Q90,48.856944444444,2.3513888888889,Milan,Q490,45.466944444444,9.19,639.4473092796718
23,London - Paris,2149539,London,Q84,51.507222222222,-0.1275,Paris,Q90,48.856944444444,2.3513888888889,343.46602143743775
24,Paris - Lisbon,2109832,Paris,Q90,48.856944444444,2.3513888888889,Lisbon,Q597,38.708042,-9.139016,1454.2009723507176
25,Oslo - Trondheim,2103647,Oslo,Q585,59.911111111111,10.752777777778,Trondheim,Q25804,63.44,10.4,392.83472275658573
26,London - Frankfurt,2067200,London,Q84,51.507222222222,-0.1275,Frankfurt,Q1794,50.113611111111,8.6797222222222,637.4916349761959
27,Milan - Catania,2023425,Milan,Q490,45.466944444444,9.19,Catania,Q1903,37.502669444444,15.087269444444,1012.0224254268338
28,Oslo - Bergen,2003549,Oslo,Q585,59.911111111111,10.752777777778,Bergen,Q26793,60.3925,5.3233333333333,305.1160031130857
29,Berlin - London,2000728,Berlin,Q64,52.516666666667,13.383333333333,London,Q84,51.507222222222,-0.1275,930.0792211917169
30,Madrid - Mallorca,1995104,Madrid,Q2807,40.418888888889,-3.6919444444444,Mallorca,Q8828,39.616666666667,2.9833333333333,575.2653963767334
31,Zürich - London,1946968,Zürich,Q72,47.378611111111,8.54,London,Q84,51.507222222222,-0.1275,775.987433581694
32,Berlin - Munich,1933810,Berlin,Q64,52.516666666667,13.383333333333,Munich,Q1726,48.1375,11.575,503.5346411245963
