ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
1,domestic,ES_LEBL_ES_LEMD,2572893,BARCELONA/EL PRAT airport - ADOLFO SUAREZ MADRID-BARAJAS airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport
2,domestic,DE_EDDF_DE_EDDT,2248716,FRANKFURT/MAIN airport - BERLIN-TEGEL airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,DE_EDDT,DE,EDDT,BERLIN-TEGEL airport
3,domestic,FR_LFBO_FR_LFPO,2217290,TOULOUSE/BLAGNAC airport - PARIS-ORLY airport,FR_LFBO,FR,LFBO,TOULOUSE/BLAGNAC airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport
4,domestic,ES_LEBL_ES_LEPA,2173939,BARCELONA/EL PRAT airport - PALMA DE MALLORCA airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
5,domestic,NO_ENGM_NO_ENVA,2103647,OSLO/GARDERMOEN airport - TRONDHEIM/VAERNES airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport,NO_ENVA,NO,ENVA,TRONDHEIM/VAERNES airport
6,domestic,FR_LFMN_FR_LFPO,2054099,NICE-COTE D'AZUR airport - PARIS-ORLY airport,FR_LFMN,FR,LFMN,NICE-COTE D'AZUR airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport
7,domestic,NO_ENBR_NO_ENGM,2003549,BERGEN/FLESLAND airport - OSLO/GARDERMOEN airport,NO_ENBR,NO,ENBR,BERGEN/FLESLAND airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport
8,domestic,ES_LEMD_ES_LEPA,1995104,ADOLFO SUAREZ MADRID-BARAJAS airport - PALMA DE MALLORCA airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
9,domestic,DE_EDDM_DE_EDDT,1933810,MUENCHEN airport - BERLIN-TEGEL airport,DE_EDDM,DE,EDDM,MUENCHEN airport,DE_EDDT,DE,EDDT,BERLIN-TEGEL airport
10,international,IE_EIDW_UK_EGLL,1855192,DUBLIN airport - LONDON HEATHROW airport,IE_EIDW,IE,EIDW,DUBLIN airport,UK_EGLL,UK,EGLL,LONDON HEATHROW airport
11,domestic,IT_LICC_IT_LIRF,1826348,CATANIA/FONTANAROSSA airport - ROMA/FIUMICINO airport,IT_LICC,IT,LICC,CATANIA/FONTANAROSSA airport,IT_LIRF,IT,LIRF,ROMA/FIUMICINO airport
12,international,NL_EHAM_UK_EGLL,1748223,AMSTERDAM/SCHIPHOL airport - LONDON HEATHROW airport,NL_EHAM,NL,EHAM,AMSTERDAM/SCHIPHOL airport,UK_EGLL,UK,EGLL,LONDON HEATHROW airport
13,domestic,DE_EDDH_DE_EDDM,1740129,HAMBURG airport - MUENCHEN airport,DE_EDDH,DE,EDDH,HAMBURG airport,DE_EDDM,DE,EDDM,MUENCHEN airport
