ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
1,domestic,TR_LTBJ_TR_LTFJ,2752419,IZMIR/ADNAN MENDERES airport - ISTANBUL/SABIHA GOKCEN airport,TR_LTBJ,TR,LTBJ,IZMIR/ADNAN MENDERES airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
2,domestic,TR_LTAI_TR_LTFJ,2617372,ANTALYA airport - ISTANBUL/SABIHA GOKCEN airport,TR_LTAI,TR,LTAI,ANTALYA airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
3,domestic,ES_LEBL_ES_LEMD,2572893,BARCELONA/EL PRAT airport - ADOLFO SUAREZ MADRID-BARAJAS airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport
4,domestic,DE_EDDF_DE_EDDT,2248716,FRANKFURT/MAIN airport - BERLIN-TEGEL airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,DE_EDDT,DE,EDDT,BERLIN-TEGEL airport
5,domestic,FR_LFBO_FR_LFPO,2217290,TOULOUSE/BLAGNAC airport - PARIS-ORLY airport,FR_LFBO,FR,LFBO,TOULOUSE/BLAGNAC airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport
6,domestic,TR_LTAC_TR_LTFJ,2184366,ANKARA/ESENBOGA airport - ISTANBUL/SABIHA GOKCEN airport,TR_LTAC,TR,LTAC,ANKARA/ESENBOGA airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
7,domestic,ES_LEBL_ES_LEPA,2173939,BARCELONA/EL PRAT airport - PALMA DE MALLORCA airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
8,domestic,NO_ENGM_NO_ENVA,2103647,OSLO/GARDERMOEN airport - TRONDHEIM/VAERNES airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport,NO_ENVA,NO,ENVA,TRONDHEIM/VAERNES airport
9,domestic,FR_LFMN_FR_LFPO,2054099,NICE-COTE D'AZUR airport - PARIS-ORLY airport,FR_LFMN,FR,LFMN,NICE-COTE D'AZUR airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport
10,domestic,NO_ENBR_NO_ENGM,2003549,BERGEN/FLESLAND airport - OSLO/GARDERMOEN airport,NO_ENBR,NO,ENBR,BERGEN/FLESLAND airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport
