ID,top 150 intra-EU routes,top 250 European routes,Type of connection,Connected countries,N. of air passengers (2019),Connection,Origin,Destination,via,N. of transfers (2019),Is a night train involved? (2019),Time of departure (2019),Time of arrival (2019),Duration of day trips (2019),Duration of trips involving night trains (2019),Duration of trips (2019),Distance,Average speed of the journey (2019),N. of weekly direct connections (2019),Shortest duration in 2021,Notes,origin_hub_qid,origin_latitude,origin_longitude,destination_hub_qid,destination_latitude,destination_longitude,distance_air_km,distance_difference_km,route_qid,passengers
XI01,NA,x,extra-EU,NL-UK,4724508,Amsterdam-London,Amsterdam,London,Bruxelles,1,no,07:15:00,12:57:00,05:42:00,NA,05:42:00,585,103,0,4:42,NA,Q727,52.383333333333,4.9,Q84,51.507222222222,-0.1275,358.0166975450957,226.98330245490428,Q84-Q727,4925746
XD01-N,NA,x,domestic non-EU,UK,3374701,London-Edinburgh,London,Edinburgh,-,0,yes,00:50:00,08:23:00,NA,07:33:00,07:33:00,641,85,:,7:33,NA,Q84,51.507222222222,-0.1275,Q23436,55.95,-3.1988888888889,533.6046061496281,107.39539385037187,Q84-Q23436,3374774
XD01,NA,x,domestic non-EU,UK,3374701,London-Edinburgh,London,Edinburgh,-,0,no,08:00:00,12:22:00,04:22:00,NA,04:22:00,641,147,:,4:22,NA,Q84,51.507222222222,-0.1275,Q23436,55.95,-3.1988888888889,533.6046061496281,107.39539385037187,Q84-Q23436,3374774
XI02-N,NA,x,extra-EU,ES-UK,3360488,London-Barcelona,London,Barcelona,"Paris, Portbou",2,yes,18:01:00,13:09:00,NA,19:08:00,19:08:00,1601,84,0,25:22,NA,Q84,51.507222222222,-0.1275,Q1492,41.3825,2.1769444444444,1139.4259151784215,461.5740848215785,Q84-Q1492,3387482
XI02,NA,x,extra-EU,ES-UK,3360488,London-Barcelona,London,Barcelona,Paris,1,no,09:25:00,18:39:00,09:14:00,NA,09:14:00,1601,173,0,10:32,NA,Q84,51.507222222222,-0.1275,Q1492,41.3825,2.1769444444444,1139.4259151784215,461.5740848215785,Q84-Q1492,3387482
D01-N,x,x,domestic,FR,3221467,Paris-Toulouse,Paris,Toulouse,-,0,yes,22:08:00,06:01:00,NA,07:53:00,07:53:00,713,90,7,7:40,NA,Q90,48.856944444444,2.3513888888889,Q7880,43.604444444444,1.4438888888889,588.1965122697903,124.80348773020967,Q90-Q7880,3216294
D01,x,x,domestic,FR,3221467,Paris-Toulouse,Paris,Toulouse,Bordeaux,1,no,07:47:00,12:43:00,04:56:00,NA,04:56:00,797,162,56,4:22,NA,Q90,48.856944444444,2.3513888888889,Q7880,43.604444444444,1.4438888888889,588.1965122697903,208.80348773020967,Q90-Q7880,3216294
D02,x,x,domestic,FR,3191073,Paris-Nice,Paris,Nice,-,0,no,07:07:00,13:06:00,05:59:00,NA,05:59:00,975,163,43,5:55,NA,Q90,48.856944444444,2.3513888888889,Q33959,43.701944444444,7.2683333333333,686.2228131436682,288.7771868563318,Q90-Q33959,3178806
XI03-N,NA,x,extra-EU,ES-UK,3142916,London-Madrid,London,Madrid,"Paris, Portbou, Barcelona",3,yes,18:01:00,16:10:00,NA,22:09:00,22:09:00,2222,100,0,27:24,NA,Q84,51.507222222222,-0.1275,Q2807,40.418888888889,-3.6919444444444,1262.9746268489828,959.0253731510172,Q84-Q2807,3147547
XI03,NA,x,extra-EU,ES-UK,3142916,Madrid-London,Madrid,London,"Barcelona, Paris",2,no,10:30:00,22:49:00,12:19:00,NA,12:19:00,2222,180,0,14:39,NA,Q2807,40.418888888889,-3.6919444444444,Q84,51.507222222222,-0.1275,1262.9746268489828,959.0253731510172,Q84-Q2807,3147547
